Date,Time,Temperatura ºC
2022/8/31,18:24:45;25.00;58.00
2022/8/31,18:24:56;25.00;58.00
2022/8/31,18:25:6;25.10;58.00
2022/8/31,18:25:17;25.10;57.00
Date,Time,Temperatura ºC
2022/8/31,18:24:45;25.10;57.00
2022/8/31,18:24:56;25.10;57.00
2022/8/31,18:25:6;25.20;57.00
2022/8/31,18:25:17;25.10;57.00
2022/8/31,18:25:28;25.10;57.00
2022/8/31,18:25:38;25.10;57.00
2022/8/31,18:25:49;25.10;57.00
2022/8/31,18:26:0;25.10;57.00
2022/8/31,18:26:10;25.10;57.00
2022/8/31,18:26:21;25.10;57.00
2022/8/31,18:26:32;25.10;57.00
2022/8/31,18:26:42;25.00;57.00
2022/8/31,18:26:53;25.00;57.00
2022/8/31,18:27:4;25.00;57.00
2022/8/31,18:27:14;24.90;57.00
2022/8/31,18:27:25;25.00;57.00
2022/8/31,18:27:36;24.90;57.00
2022/8/31,18:27:46;24.90;57.00
2022/8/31,18:27:57;24.90;58.00
2022/8/31,18:28:8;24.90;57.00
2022/8/31,18:28:18;24.90;58.00
2022/8/31,18:28:29;24.90;57.00
2022/8/31,18:28:40;24.90;58.00
2022/8/31,18:28:50;24.90;57.00
2022/8/31,18:29:1;24.90;58.00
2022/8/31,18:29:12;24.90;58.00
2022/8/31,18:29:22;24.90;58.00
2022/8/31,18:29:33;24.90;58.00
2022/8/31,18:29:44;24.90;58.00
2022/8/31,18:29:54;24.80;58.00
2022/8/31,18:30:5;24.80;58.00
2022/8/31,18:30:16;24.80;58.00
2022/8/31,18:30:26;24.70;58.00
2022/8/31,18:30:37;24.80;58.00
2022/8/31,18:30:48;24.70;58.00
2022/8/31,18:30:58;24.80;58.00
2022/8/31,18:31:9;24.70;58.00
2022/8/31,18:31:20;24.70;58.00
2022/8/31,18:31:30;24.70;58.00
2022/8/31,18:31:41;24.70;58.00
2022/8/31,18:31:52;24.70;58.00
2022/8/31,18:32:2;24.70;58.00
2022/8/31,18:32:13;24.70;58.00
2022/8/31,18:32:24;24.70;58.00
2022/8/31,18:32:34;24.70;58.00
2022/8/31,18:32:45;24.70;58.00
2022/8/31,18:32:56;24.70;58.00
2022/8/31,18:33:6;24.70;58.00
2022/8/31,18:33:17;24.70;58.00
2022/8/31,18:33:28;24.70;58.00
2022/8/31,18:33:38;24.80;59.00
2022/8/31,18:33:49;24.80;59.00
2022/8/31,18:34:0;24.90;59.00
2022/8/31,18:34:10;24.80;58.00
2022/8/31,18:34:21;24.90;58.00
2022/8/31,18:34:32;24.90;58.00
2022/8/31,18:34:42;24.90;58.00
2022/8/31,18:34:53;24.90;58.00
2022/8/31,18:35:4;24.90;58.00
Date;Time;Temperatura;Umidade
2022/9/1;8:54:43;25.00;58.00
2022/9/1;8:54:54;25.00;58.00
2022/9/1;8:55:4;25.10;58.00
2022/9/1;8:55:15;25.10;58.00
2022/9/1;8:55:26;25.10;58.00
2022/9/1;8:55:36;25.10;58.00
2022/9/1;8:55:47;25.10;58.00
2022/9/1;8:55:58;25.10;57.00
2022/9/1;8:56:8;25.10;57.00
2022/9/1;8:56:19;25.20;57.00
2022/9/1;8:56:30;25.10;57.00
2022/9/1;8:56:40;25.20;57.00
2022/9/1;8:56:51;25.20;57.00
2022/9/1;8:57:2;25.10;57.00
2022/9/1;8:57:12;25.20;57.00
2022/9/1;8:57:23;25.20;57.00
2022/9/1;8:57:34;25.20;57.00
2022/9/1;8:57:44;25.20;57.00
2022/9/1;8:57:55;25.20;57.00
2022/9/1;8:58:6;25.30;57.00
2022/9/1;8:58:16;25.20;57.00
2022/9/1;8:58:27;25.30;57.00
2022/9/1;8:58:38;25.30;57.00
2022/9/1;8:58:48;25.30;57.00
2022/9/1;8:58:59;25.30;57.00
2022/9/1;8:59:10;25.40;57.00
2022/9/1;8:59:20;25.40;57.00
2022/9/1;8:59:31;25.40;57.00
2022/9/1;8:59:42;25.40;57.00
2022/9/1;8:59:52;25.50;57.00
2022/9/1;9:0:3;25.50;57.00
2022/9/1;9:0:14;25.50;57.00
2022/9/1;9:0:24;25.50;57.00
2022/9/1;9:0:35;25.50;57.00
2022/9/1;9:0:46;25.60;57.00
2022/9/1;9:0:56;25.60;57.00
2022/9/1;9:1:7;25.60;57.00
2022/9/1;9:1:18;25.60;57.00
2022/9/1;9:1:28;25.60;57.00
2022/9/1;9:1:39;25.70;57.00
2022/9/1;9:1:50;25.60;57.00
2022/9/1;9:2:0;25.70;57.00
2022/9/1;9:2:11;25.70;57.00
2022/9/1;9:2:22;25.70;57.00
2022/9/1;9:2:32;25.70;57.00
2022/9/1;9:2:43;25.70;57.00
2022/9/1;9:2:54;25.70;57.00
2022/9/1;9:3:4;25.70;57.00
2022/9/1;9:3:15;25.80;57.00
2022/9/1;9:3:26;25.70;57.00
2022/9/1;9:3:36;25.80;57.00
2022/9/1;9:3:47;25.80;57.00
2022/9/1;9:3:58;25.80;57.00
2022/9/1;9:4:8;25.80;57.00
2022/9/1;9:4:19;25.80;57.00
2022/9/1;9:4:30;25.80;57.00
2022/9/1;9:4:40;25.80;57.00
2022/9/1;9:4:51;25.80;57.00
2022/9/1;9:5:2;25.80;57.00
2022/9/1;9:5:12;25.80;57.00
2022/9/1;9:5:23;25.80;57.00
2022/9/1;9:5:34;25.80;57.00
2022/9/1;9:5:44;25.80;57.00
