
Data;Hora;Temperatura;Umidade
2022/9/2;10:38:11;
Data;Hora;Temperatura;Umidade
2022/9/2;10:38:11;27.20;61.00
2022/9/2;10:38:22;27.20;62.00
2022/9/2;10:38:32;27.20;61.00
2022/9/2;10:38:43;27.20;61.00
2022/9/2;10:38:54;27.30;61.00
2022/9/2;10:39:4;27.30;61.00
2022/9/2;10:39:15;27.30;61.00
2022/9/2;10:39:26;27.30;61.00
2022/9/2;10:39:36;27.30;61.00
2022/9/2;10:39:47;27.30;60.00
2022/9/2;10:39:58;27.30;61.00
2022/9/2;10:40:8;27.30;62.00
2022/9/2;10:40:19;27.30;61.00
2022/9/2;10:40:30;27.40;61.00
2022/9/2;10:40:40;27.30;61.00
2022/9/2;10:40:51;27.40;61.00
2022/9/2;10:41:2;27.30;60.00
2022/9/2;10:41:12;27.40;60.00
2022/9/2;10:41:23;27.40;60.00
2022/9/2;10:41:34;27.40;61.00
2022/9/2;10:41:44;27.40;60.00
2022/9/2;10:41:55;27.40;60.00
2022/9/2;10:42:6;27.40;60.00
2022/9/2;10:42:16;27.50;60.00
2022/9/2;10:42:27;27.40;60.00
2022/9/2;10:42:38;27.40;60.00
2022/9/2;10:42:48;27.40;60.00
2022/9/2;10:42:59;27.40;60.00
2022/9/2;10:43:10;27.40;60.00
2022/9/2;10:43:20;27.40;60.00
2022/9/2;10:43:31;27.40;60.00
2022/9/2;10:43:42;27.40;60.00
2022/9/2;10:43:52;27.40;60.00
2022/9/2;10:44:3;27.40;60.00
2022/9/2;10:44:14;27.40;60.00
2022/9/2;10:44:24;27.30;60.00
2022/9/2;10:44:35;27.40;60.00
2022/9/2;10:44:46;27.40;60.00
2022/9/2;10:44:56;27.40;61.00
2022/9/2;10:45:7;27.30;60.00
2022/9/2;10:45:18;27.30;61.00
2022/9/2;10:45:28;27.30;60.00
2022/9/2;10:45:39;27.30;61.00
2022/9/2;10:45:50;27.30;61.00
2022/9/2;10:46:0;27.30;61.00
2022/9/2;10:46:11;27.30;61.00
2022/9/2;10:46:22;27.30;61.00
2022/9/2;10:46:32;27.30;61.00
2022/9/2;10:46:43;27.30;61.00
2022/9/2;10:46:54;27.20;61.00
2022/9/2;10:47:4;27.20;61.00
2022/9/2;10:47:15;27.20;61.00
2022/9/2;10:47:26;27.20;61.00
2022/9/2;10:47:36;27.20;61.00
2022/9/2;10:47:47;27.20;61.00
2022/9/2;10:47:58;27.20;61.00
2022/9/2;10:48:8;27.20;61.00
2022/9/2;10:48:19;27.20;61.00
2022/9/2;10:48:30;27.20;61.00
2022/9/2;10:48:40;27.20;61.00
2022/9/2;10:48:51;27.20;61.00
2022/9/2;10:49:2;27.20;61.00
2022/9/2;10:49:12;27.10;61.00
2022/9/2;10:49:23;27.20;61.00
2022/9/2;10:49:34;27.20;61.00
2022/9/2;10:49:44;27.10;61.00
2022/9/2;10:49:55;27.10;61.00
2022/9/2;10:50:6;27.10;61.00
2022/9/2;10:50:16;27.10;61.00
2022/9/2;10:50:27;27.10;61.00
2022/9/2;10:50:38;27.20;61.00
2022/9/2;10:50:48;27.20;61.00
2022/9/2;10:50:59;27.20;61.00
2022/9/2;10:51:10;27.20;61.00
2022/9/2;10:51:20;27.20;61.00
2022/9/2;10:51:31;27.20;61.00
2022/9/2;10:51:42;27.20;61.00
2022/9/2;10:51:52;27.10;61.00
2022/9/2;10:52:3;27.20;61.00
2022/9/2;10:52:14;27.20;61.00
2022/9/2;10:52:24;27.20;61.00
2022/9/2;10:52:35;27.20;61.00
2022/9/2;10:52:46;27.20;61.00
2022/9/2;10:52:56;27.20;61.00
2022/9/2;10:53:7;27.20;61.00
2022/9/2;10:53:18;27.20;61.00
2022/9/2;10:53:28;27.20;61.00
2022/9/2;10:53:39;27.20;61.00
2022/9/2;10:53:50;27.20;61.00
2022/9/2;10:54:0;27.10;61.00
2022/9/2;10:54:11;27.10;61.00
2022/9/2;10:54:22;27.10;61.00
2022/9/2;10:54:32;27.10;61.00
2022/9/2;10:54:43;27.20;61.00
2022/9/2;10:54:54;27.20;61.00
2022/9/2;10:55:4;27.20;61.00
2022/9/2;10:55:15;27.20;61.00
2022/9/2;10:55:26;27.20;61.00
2022/9/2;10:55:36;27.10;61.00
2022/9/2;10:55:47;27.10;61.00
2022/9/2;10:55:58;27.10;61.00
2022/9/2;10:56:8;27.10;61.00
2022/9/2;10:56:19;27.10;61.00
2022/9/2;10:56:30;27.10;61.00
2022/9/2;10:56:40;27.20;61.00
2022/9/2;10:56:51;27.20;61.00
2022/9/2;10:57:2;27.10;61.00
2022/9/2;10:57:12;27.10;61.00
2022/9/2;10:57:23;27.10;61.00
2022/9/2;10:57:34;27.20;61.00
2022/9/2;10:57:44;27.10;61.00
2022/9/2;10:57:55;27.10;61.00
2022/9/2;10:58:6;27.20;61.00
2022/9/2;10:58:16;27.10;61.00
2022/9/2;10:58:27;27.10;61.00
2022/9/2;10:58:38;27.20;61.00
2022/9/2;10:58:48;27.20;61.00
2022/9/2;10:58:59;27.20;61.00
2022/9/2;10:59:10;27.20;61.00
2022/9/2;10:59:20;27.20;61.00
2022/9/2;10:59:31;27.20;61.00
2022/9/2;10:59:42;27.20;61.00
2022/9/2;10:59:52;27.20;61.00
2022/9/2;11:0:3;27.20;61.00
2022/9/2;11:0:14;27.20;61.00
2022/9/2;11:0:24;27.20;61.00
2022/9/2;11:0:35;27.20;61.00
2022/9/2;11:0:46;27.20;61.00
2022/9/2;11:0:56;27.20;61.00
2022/9/2;11:1:7;27.20;61.00
2022/9/2;11:1:18;27.20;61.00
2022/9/2;11:1:28;27.20;61.00
2022/9/2;11:1:39;27.20;61.00
2022/9/2;11:1:50;27.10;61.00
2022/9/2;11:2:0;27.10;61.00
2022/9/2;11:2:11;27.10;61.00
2022/9/2;11:2:22;27.10;61.00
2022/9/2;11:2:32;27.10;61.00
2022/9/2;11:2:43;27.10;61.00
2022/9/2;11:2:54;27.10;61.00
2022/9/2;11:3:4;27.10;61.00
2022/9/2;11:3:15;27.10;61.00
2022/9/2;11:3:26;27.10;61.00
2022/9/2;11:3:36;27.10;61.00
2022/9/2;11:3:47;27.10;61.00
2022/9/2;11:3:58;27.20;61.00
2022/9/2;11:4:8;27.20;61.00
2022/9/2;11:4:19;27.10;61.00
2022/9/2;11:4:30;27.10;61.00
2022/9/2;11:4:40;27.10;61.00
2022/9/2;11:4:51;27.10;61.00
2022/9/2;11:5:2;27.20;61.00
2022/9/2;11:5:12;27.20;61.00
2022/9/2;11:5:23;27.20;61.00
2022/9/2;11:5:34;27.20;61.00
2022/9/2;11:5:44;27.20;61.00
2022/9/2;11:5:55;27.20;61.00
2022/9/2;11:6:6;27.20;61.00
2022/9/2;11:6:16;27.20;61.00
2022/9/2;11:6:27;27.20;61.00
2022/9/2;11:6:38;27.20;61.00
2022/9/2;11:6:48;27.20;61.00
2022/9/2;11:6:59;27.20;61.00
2022/9/2;11:7:10;27.20;61.00
2022/9/2;11:7:20;27.20;61.00
2022/9/2;11:7:31;27.20;61.00
2022/9/2;11:7:42;27.20;61.00
2022/9/2;11:7:52;27.20;61.00
2022/9/2;11:8:3;27.20;61.00
2022/9/2;11:8:14;27.20;61.00
2022/9/2;11:8:24;27.20;61.00
2022/9/2;11:8:35;27.20;61.00
2022/9/2;11:8:46;27.20;61.00
2022/9/2;11:8:56;27.20;61.00
2022/9/2;11:9:7;27.10;61.00
2022/9/2;11:9:18;27.20;61.00
2022/9/2;11:9:28;27.20;61.00
2022/9/2;11:9:39;27.10;61.00
2022/9/2;11:9:50;27.20;61.00
2022/9/2;11:10:0;27.10;61.00
2022/9/2;11:10:11;27.10;61.00
2022/9/2;11:10:22;27.10;61.00
2022/9/2;11:10:32;27.10;61.00
2022/9/2;11:10:43;27.10;61.00
2022/9/2;11:10:54;27.20;61.00
2022/9/2;11:11:4;27.20;61.00
2022/9/2;11:11:15;27.20;61.00
2022/9/2;11:11:26;27.20;61.00
2022/9/2;11:11:36;27.20;61.00
2022/9/2;11:11:47;27.20;61.00
2022/9/2;11:11:57;27.10;61.00
2022/9/2;11:12:8;27.10;61.00
2022/9/2;11:12:19;27.10;61.00
2022/9/2;11:12:29;27.10;61.00
2022/9/2;11:12:40;27.00;61.00
2022/9/2;11:12:51;27.10;61.00
2022/9/2;11:13:1;27.10;61.00
2022/9/2;11:13:12;27.10;61.00
2022/9/2;11:13:23;27.10;61.00
2022/9/2;11:13:34;27.10;61.00
2022/9/2;11:13:44;27.10;61.00
2022/9/2;11:13:55;27.00;61.00
2022/9/2;11:14:5;27.10;61.00
2022/9/2;11:14:16;27.10;61.00
2022/9/2;11:14:27;27.10;61.00
2022/9/2;11:14:37;27.00;61.00
2022/9/2;11:14:48;27.10;61.00
2022/9/2;11:14:59;27.10;61.00
2022/9/2;11:15:9;27.10;61.00
2022/9/2;11:15:20;27.10;61.00
2022/9/2;11:15:31;27.10;61.00
2022/9/2;11:15:41;27.10;61.00
2022/9/2;11:15:52;27.20;61.00
2022/9/2;11:16:3;27.10;61.00
2022/9/2;11:16:13;27.10;61.00
2022/9/2;11:16:24;27.10;61.00
2022/9/2;11:16:35;27.10;61.00
2022/9/2;11:16:45;27.10;61.00
2022/9/2;11:16:56;27.10;61.00
2022/9/2;11:17:7;27.10;61.00
2022/9/2;11:17:17;27.10;61.00
2022/9/2;11:17:28;27.10;61.00
2022/9/2;11:17:39;27.10;61.00
2022/9/2;11:17:49;27.10;61.00
2022/9/2;11:18:0;27.10;61.00
2022/9/2;11:18:11;27.10;61.00
2022/9/2;11:18:21;27.10;61.00
2022/9/2;11:18:32;27.20;61.00
2022/9/2;11:18:43;27.20;61.00
2022/9/2;11:18:54;27.10;61.00
2022/9/2;11:19:4;27.10;61.00
2022/9/2;11:19:15;27.10;61.00
