
Data;Hora;Temperatura;Umidade
2022/9/5;9:32:36;2022/9/5;9:32:48;29.40;51.00

Data;Hora;Temperatura;Umidade
2022/9/5;9:32:36;29.50;51.00
2022/9/5;9:32:47;29.50;51.00
2022/9/5;9:32:57;29.50;51.00
2022/9/5;9:33:8;29.70;50.00
2022/9/5;9:33:19;29.70;50.00
2022/9/5;9:33:29;29.70;50.00
2022/9/5;9:33:40;29.60;50.00
2022/9/5;9:33:51;29.70;50.00
2022/9/5;9:34:1;29.60;50.00
2022/9/5;9:34:12;29.60;50.00
2022/9/5;9:34:23;29.60;50.00
2022/9/5;9:34:33;29.70;50.00
2022/9/5;9:34:44;29.60;50.00
2022/9/5;9:34:55;29.60;50.00
2022/9/5;9:35:5;29.70;50.00
2022/9/5;9:35:16;29.70;50.00
2022/9/5;9:35:27;29.70;50.00
2022/9/5;9:35:37;29.70;50.00
2022/9/5;9:35:48;29.70;50.00
2022/9/5;9:35:59;29.70;50.00
2022/9/5;9:36:9;29.70;50.00
2022/9/5;9:36:20;29.70;51.00
2022/9/5;9:36:31;29.70;51.00
2022/9/5;9:36:41;29.70;51.00
2022/9/5;9:36:52;29.70;51.00
2022/9/5;9:37:3;29.70;51.00
2022/9/5;9:37:13;29.70;51.00
2022/9/5;9:37:24;29.70;51.00
2022/9/5;9:37:35;29.70;51.00
2022/9/5;9:37:45;29.70;51.00
2022/9/5;9:37:56;29.70;51.00
2022/9/5;9:38:7;29.70;51.00
2022/9/5;9:38:17;29.70;51.00
2022/9/5;9:38:28;29.80;50.00
2022/9/5;9:38:39;29.80;51.00
2022/9/5;9:38:49;29.70;50.00
2022/9/5;9:39:0;29.70;50.00
2022/9/5;9:39:11;29.70;50.00
2022/9/5;9:39:21;29.70;51.00
2022/9/5;9:39:32;29.70;51.00
2022/9/5;9:39:43;29.70;51.00
2022/9/5;9:39:53;29.80;51.00
2022/9/5;9:40:4;29.70;51.00
2022/9/5;9:40:15;29.80;51.00
2022/9/5;9:40:25;29.80;51.00
2022/9/5;9:40:36;29.80;51.00
2022/9/5;9:40:47;29.80;51.00
2022/9/5;9:40:57;29.80;51.00
2022/9/5;9:41:8;29.90;51.00
2022/9/5;9:41:19;29.90;51.00
2022/9/5;9:41:29;29.80;51.00
2022/9/5;9:41:40;29.80;51.00
2022/9/5;9:41:51;29.90;51.00
2022/9/5;9:42:1;29.90;51.00
2022/9/5;9:42:12;29.80;51.00
2022/9/5;9:42:23;29.90;51.00
2022/9/5;9:42:33;29.90;51.00
2022/9/5;9:42:44;29.80;50.00
2022/9/5;9:42:55;29.90;50.00
2022/9/5;9:43:5;29.90;51.00
2022/9/5;9:43:16;29.80;51.00
2022/9/5;9:43:27;29.90;50.00
2022/9/5;9:43:37;29.80;50.00
2022/9/5;9:43:48;29.90;50.00
2022/9/5;9:43:59;29.80;50.00
2022/9/5;9:44:9;29.80;50.00
2022/9/5;9:44:20;29.80;50.00
2022/9/5;9:44:31;29.80;50.00
2022/9/5;9:44:41;29.80;50.00
2022/9/5;9:44:52;29.80;50.00
2022/9/5;9:45:3;29.80;50.00
2022/9/5;9:45:13;29.80;50.00
2022/9/5;9:45:24;29.80;50.00
2022/9/5;9:45:35;29.80;50.00
2022/9/5;9:45:45;29.70;50.00
2022/9/5;9:45:56;29.70;50.00
2022/9/5;9:46:7;29.70;50.00
2022/9/5;9:46:17;29.70;50.00
2022/9/5;9:46:28;29.60;50.00
2022/9/5;9:46:39;29.70;50.00
2022/9/5;9:46:49;29.70;50.00
2022/9/5;9:47:0;29.60;50.00
2022/9/5;9:47:11;29.60;50.00
2022/9/5;9:47:21;29.60;50.00
2022/9/5;9:47:32;29.50;50.00
2022/9/5;9:47:43;29.70;50.00
2022/9/5;9:47:53;29.60;50.00
2022/9/5;9:48:4;29.60;50.00
2022/9/5;9:48:15;29.60;50.00
2022/9/5;9:48:25;29.70;50.00
2022/9/5;9:48:36;29.60;50.00
2022/9/5;9:48:47;29.60;50.00
2022/9/5;9:48:57;29.50;50.00
2022/9/5;9:49:8;29.60;50.00
2022/9/5;9:49:19;29.50;50.00
2022/9/5;9:49:29;29.50;50.00
2022/9/5;9:49:40;29.50;50.00
2022/9/5;9:49:51;29.50;50.00
2022/9/5;9:50:1;29.50;50.00
2022/9/5;9:50:12;29.50;50.00
2022/9/5;9:50:23;29.50;50.00
2022/9/5;9:50:33;29.50;50.00
2022/9/5;9:50:44;29.50;50.00
2022/9/5;9:50:55;29.50;50.00
2022/9/5;9:51:5;29.50;50.00
2022/9/5;9:51:16;29.50;50.00
2022/9/5;9:51:27;29.50;50.00
2022/9/5;9:51:37;29.50;50.00
2022/9/5;9:51:48;29.50;50.00
2022/9/5;9:51:59;29.50;50.00
2022/9/5;9:52:9;29.50;50.00
2022/9/5;9:52:20;29.50;50.00
2022/9/5;9:52:31;29.50;50.00
2022/9/5;9:52:41;29.50;50.00
2022/9/5;9:52:52;29.50;50.00
2022/9/5;9:53:3;29.50;50.00
2022/9/5;9:53:13;29.50;50.00
2022/9/5;9:53:24;29.50;50.00
2022/9/5;9:53:35;29.50;50.00
2022/9/5;9:53:45;29.50;50.00
2022/9/5;9:53:56;29.50;50.00
2022/9/5;9:54:7;29.50;50.00
2022/9/5;9:54:17;29.50;50.00
2022/9/5;9:54:28;29.50;50.00
2022/9/5;9:54:39;29.50;50.00
2022/9/5;9:54:49;29.60;50.00
2022/9/5;9:55:0;29.50;50.00
2022/9/5;9:55:11;29.50;50.00
2022/9/5;9:55:21;29.50;49.00
2022/9/5;9:55:32;29.50;50.00
2022/9/5;9:55:43;29.50;49.00
2022/9/5;9:55:53;29.50;50.00
2022/9/5;9:56:4;29.50;50.00
2022/9/5;9:56:15;29.50;50.00
2022/9/5;9:56:25;29.50;49.00
2022/9/5;9:56:36;29.50;49.00
2022/9/5;9:56:47;29.50;50.00
2022/9/5;9:56:57;29.50;49.00
2022/9/5;9:57:8;29.50;50.00
2022/9/5;9:57:19;29.50;49.00
2022/9/5;9:57:29;29.50;50.00
2022/9/5;9:57:40;29.50;49.00
2022/9/5;9:57:51;29.50;49.00
2022/9/5;9:58:1;29.50;49.00
2022/9/5;9:58:12;29.50;49.00
2022/9/5;9:58:23;29.50;49.00
2022/9/5;9:58:33;29.50;49.00
2022/9/5;9:58:44;29.50;49.00
2022/9/5;9:58:55;29.50;49.00
2022/9/5;9:59:5;29.50;49.00
2022/9/5;9:59:16;29.50;49.00
2022/9/5;9:59:27;29.50;49.00
2022/9/5;9:59:37;29.50;49.00
2022/9/5;9:59:48;29.50;49.00
2022/9/5;9:59:59;29.50;49.00
2022/9/5;10:0:9;29.50;49.00
2022/9/5;10:0:20;29.50;49.00
2022/9/5;10:0:31;29.50;49.00
